id,summary,host_is_superhost,host_since,host_response_time,neighbourhood,reviews_per_month,property_type,beds,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_dollars
12147973,"Cozy, sunny, family home.  Master bedroom high ceilings. Deck, garden with hens, beehives & play structure.   Short walk to charming village with  attractive stores, groceries & local restaurants. Friendly neighborhood. Access public transportation.",f,2015-04-15,N/A,Roslindale,NA,House,3,NA,NA,NA,NA,NA,NA,NA,250
3075044,"Charming and quiet room in a second floor 1910 condo building. The room has a full size bed, darkening curtains, window A/C unit. It's quiet because it's in the back of the house. Shared bathroom. Guests can use kitchen, living room. Pet friendly.",f,2012-06-07,within an hour,Roslindale,1.3,Apartment,1,94,10,9,10,10,9,9,65
6976,"Come stay with a friendly, middle-aged guy in the safe and quiet Roslindale neighborhood of Boston. You will have you own clean, furnished room (with cable TV, Wi-Fi, and a desk to work at) in an apartment that is filled with Mexican folk art. ",t,2009-05-11,within a few hours,Roslindale,0.47,Apartment,1,98,10,9,10,10,9,10,65
1436513,"Come experience the comforts of home away from home in our fabulous bedroom suite available in Roslindale, a neighborhood in Boston.  Enjoy sleeping on a large king sized bed with plush down bedding, access to a dishwasher, washer dryer and home gym. The house is incredibly accessible to public transportation and the center of Boston. Free street parking is available right in front of the house. Weekend farmers markets, restaurants and grocery stores are a 10 min walk away from the house.",f,2013-04-21,within a few hours,,1,House,2,100,10,10,10,10,10,10,75
7651065,"My comfy, clean and relaxing home is one block away from the bus line, on a quiet residential street.  Private room includes two comfortable single beds.  Full bath and half bath may be shared with 1-2 other guests.  Light breakfast included. AC",t,2014-05-11,within an hour,Roslindale,2.25,House,2,99,10,10,10,10,9,10,79
12386020,"Super comfy bedroom plus your own bathroom in our big, sunny condo. Roslindale is an outer neighborhood of Boston. For guests interested in downtown Boston, we are a 45-minute ride via public transportation. We're also just steps from the Arnold Arboretum, nature's gift to Boston. Driveway parking is available.",t,2016-03-23,within a few hours,Roslindale,1.7,Condominium,1,100,10,10,10,10,9,10,75
5706985,"It's a 5 minute walk to Rosi Square to catch the train to downtown Boston (15 min ride). HUGE basement studio apartment  (736 sq/68 sq meters)  with separate private entrance under the back deck-low entrance on exterior (60"") Tall interior height 99"". King size bed in the bedroom area which is separated by a 3/4 wall from the  open plan living area. The leather couch converts to a bed (44wide) for a single guest.",f,2013-05-25,within an hour,,4,Apartment,2,90,10,10,10,10,9,9,100
2843445,"We can accommodate guests who are gluten-free, vegan and/or vegetarian.  We'll spoil you in our beautifully maintained grand two family home built circa 1924 with spectacular views of the nearby Boston skyline. You'll be treated to a delicious continental breakfast each morning. You will find yourself in a quiet neighborhood only a 4 minute walk to the bus. On street parking available. Sleep in a comfortable spacious queen-size bed and awake to the melodious sounds of birds chirping.",t,2012-08-05,within a few hours,Roslindale,2.38,House,1,96,10,10,10,10,10,10,75
753446,"Nice and cozy apartment about 6 miles away to downtown Boston, and only  30 minutes via public transportation with plenty of street parking. It is a 5 minute walk from Roslindale Village where you can find public transportation.",t,2012-10-24,within an hour,Roslindale,5.36,Condominium,2,96,10,10,10,10,9,10,58
849408,"This is a cozy and spacious two bedroom unit with everything you need to make your stay a comfortable one.  A true ""home away from home.""  If available, combine with adjacent one bedroom unit to accommodate 6 people comfortably in beds.",t,2012-12-18,within an hour,Roslindale,1.01,Apartment,2,94,10,9,10,10,9,9,229
12023024,"The room is in a single family house located in a quite and safe neighborhood,  near business areas,  restaurants, shops, and close to the beautiful Arnold arboretum  with short  access to public transportation to downtown Boston,  about 20 min.",f,2016-03-24,within a day,Roslindale,0.36,House,1,80,10,8,8,10,10,10,60
1668313,"Quiet second floor bedroom sleeps one in comfort, Includes back yard view, semi-private full bath & use of first floor living area, front porch & garden. Great plus: free street parking or a short walk to public transport into Boston/Cambridge.",t,2013-09-14,within an hour,Roslindale,0.48,House,1,94,9,10,10,10,9,9,57
2684840,"Clean, sunny 2 bedroom in amazing Roslindale Village, 6 miles from downtown Boston . Recently remodeled condo offering everything you need for your stay. Located steps from the Arnold Arboretum and Roslindale Village.",f,2014-03-31,within a few hours,Roslindale,0.64,Condominium,2,100,10,10,10,10,10,10,93
13547301,"My place is close to Public Transportation. The train station to downtown Boston is a short 1 minute walk from my house. You’ll love my place because of the neighborhood, the comfy bed, the light, and the coziness. My place is good for couples, solo adventurers, business travelers, and families (with kids).",f,2016-02-04,within an hour,Roslindale,4.93,Apartment,3,97,10,10,10,10,9,10,150
5434353,"Enjoy the full space of our home as you explore some of the more trendy and hip parts of Boston. Close to Jamaica Plain, and steps to Roslindale Square, this warm abode offers the convenience to Downtown, yet nestled off the beaten track.        ",f,2013-10-27,within a day,Roslindale,0.56,House,2,91,9,9,10,9,9,9,145
225979,Fresh home roasted coffee from around the world awaits you each morning along with a thick slice of my freshly baked artisan bread. This alcove room is comfortable for any length of stay with some stays up to 6 months. Excellent for those relocating.,f,2011-09-18,within an hour,Roslindale,1.16,Apartment,1,96,9,10,10,10,9,10,60
3420384,Located along public transportation with plenty of on street parking.,f,2011-03-09,within a few hours,Roslindale,1,House,3,100,10,10,10,10,10,10,165
13512930,"Clean, sunny 1 bedroom in amazing Roslindale Village, 6 miles from downtown Boston. Recently remodeled condo offering everything you need for your stay. Located steps from the Arnold Arboretum and Roslindale Village.",f,2014-03-31,within a few hours,Roslindale,0.37,Condominium,1,100,10,10,10,10,10,10,75
7482195,"A handsome colonial house set on a tranquil side street.  Fully furnished with several rooms.  Easy commute to Downtown with nearest bus stop only a five minute walk away.  Near restaurants, grocery and shopping arcade.  Laundry and WiFi available.",t,2015-05-30,within a day,Roslindale,NA,House,1,NA,NA,NA,NA,NA,NA,NA,49
7252607,"A handsome colonial house set on a tranquil side street. Fully furnished with spacious rooms. Easy commute to Downtown with nearest bus stop only a 5 minute walk away. Near restaurants, grocery and shopping arcade. Laundry and WiFi available.",t,2015-05-30,within a day,,0.29,House,1,95,9,10,10,10,9,10,49
2583074,"My home is a villa in one of the friendliest, and safest  neighborhood of Boston.   The room  has a window overlooking  the yard and street.   All utilities and WIFI are included. Shared bathroom /kitchen.   The bus line is less than a minute walk.",t,2014-03-17,within a few hours,Roslindale,1.24,Villa,1,99,10,10,10,10,9,10,40
13251243,"Lovely sun-filled private guest cottage set on single family landscaped lot. The cottage is newly renovated and furnished for your comfort.  It provides a private, peaceful setting just 6.5 miles from downtown Boston.  We will be happy to help you during your stay if needed. A guide book for the area will be available to you upon your arrival. We think this listing is destined to be a Best of Boston AirBNB! Come experience why.",f,2016-05-28,within an hour,Roslindale,5.93,House,2,98,10,10,10,10,10,10,120
225834,"High atop Metropolitan Hill. Expansive view. No buildings higher, sleep with the windows uncovered. Experience sunrise like you were sleeping on the beach. Home roasted exotic coffee and fresh baked bread greet you in the morning. A travel adventure.",f,2011-09-18,within an hour,Roslindale,0.63,Apartment,1,98,9,10,10,10,9,9,70
6400432,Three bedroom in Boston's Roslindale neighborhood - spacious backyard and large playroom make it incredibly kid-friendly. Off-street parking. Bus brings you to Forest Hills T Station on the Orange Line; walk to commuter rail and shops/restaurants.,f,2014-10-29,within a day,,1.58,House,5,88,9,9,9,10,9,10,150
5498472,"Our spacious, modern, immaculate town home is located in Roslindale, MA,  a fun and family friendly neighborhood of Boston. We are a perfect option for families with small children or those without who want to stay in a large, fully stocked home.",f,2015-02-28,N/A,Roslindale,0.07,House,3,100,10,10,10,10,10,10,175
894539,,t,2013-01-19,within an hour,Roslindale,1.13,House,1,96,10,10,10,10,9,10,95
879929,,f,2013-01-10,within an hour,Roslindale,1.06,Apartment,1,95,10,9,10,10,9,9,90
9218312,"Located in the Peter's Hill neighborhood, restored 1884 Victorian offers a private entrance, private marble bathroom and a large, comfortable bedroom. Roslindale Square, Arnold Arboretum and the T are all just a few minutes walk.",t,2015-11-01,within a few hours,Roslindale,4.02,House,1,99,10,10,10,10,10,10,95
321328,,f,2013-08-21,within a day,Roslindale,0.21,Apartment,2,90,9,8,10,9,9,9,100
1810172,"This second floor bedroom sleeps two in a queen bed. It includes street view, semi-private full bath & use of first floor living area, front porch & garden. Great plus: free street parking or a short walk to public transport into Boston/Cambridge.",t,2013-09-14,within an hour,Roslindale,0.58,House,1,96,10,9,10,10,9,10,67
6513924,Nice unit located within walking distance of charming Roslindale Village and very easy access to public transportation for getting into Downtown Boston.   Message me if interested.,f,2014-06-04,within a few hours,Roslindale,1.93,Condominium,1,92,10,9,10,10,9,9,55
7093109,"New totally renovated 2 bedroom apt located 30 minutes aproximately from Downtown Boston. Apt its bright and spacious. The Apartment it's private and it is located on a 2nd floor, it will not be shared with anybody.  The living space is 1180 Sq ft. I don't live in the blding, but my mother does. The apartment has all the amenities that you might need. Iron board, toaster, coffee maker, dishwasher, blow dryer. Also it has everything you need to cook your own favorite food.",f,2015-06-30,within an hour,Roslindale,0.38,Apartment,2,100,10,10,10,10,9,10,200
14690527,"My place is good for couples, solo adventurers, business travelers, and families (with kids).  A clean space you can relax in and entertain yourself with the trinkets we've collected and placed thoughtfully throughout our home. We are conveniently located on a street that ends into the Harvard Arboretum on one end and has the Roslindale Village Commuter Rail at the other with a short cut path into Roslindale Village for shops and dinning.",f,2015-02-27,N/A,Roslindale,NA,Apartment,2,NA,NA,NA,NA,NA,NA,NA,150
7086825,"A handsome colonial house set on a tranquil side street. Fully furnished with spacious rooms. Easy commute to Downtown with nearest bus stop only a 5 minute walk away. Near restaurants, grocery and shopping arcade. Laundry and WiFi available.",t,2015-05-30,within a day,Roslindale,0.72,House,1,98,9,9,10,10,9,10,49
1861070,"This home has been featured in several magazines.  Filled with quirky collections, antiques, one adult and one pug named Rita Rose.  Guests will stay in small second floor room with a view to the tree tops.  We have a shared full bath and one half bath.",f,2013-09-16,within a few hours,Roslindale,0.59,House,1,96,10,10,10,10,10,10,75
4283698,"This is a fantastic, newly updated space.  Large, living room with futon couch/bed, and spacious bedroom with queen bed.  Updated bathroom, fixtures, and appliances.  Third floor of a home, private entrance.  Off-street parking & on-street parking.",f,2011-01-02,within an hour,Roslindale,2.36,House,2,87,9,9,10,10,9,9,110
10116095,"Comfortable private room with a queen sized bed, HDTV, wireless internet, shared bathroom/kitchen/living room/laundry, and 1 parking spot in Roslindale, MA. Close to nice restaurants / bars, convenience stores, and the Arnold Arboretum.",f,2011-09-30,within a few hours,,NA,Apartment,1,NA,NA,NA,NA,NA,NA,NA,115
8548176,"Lots of room for 3 couples or a family.  3 bedrooms (only 1 bathroom) Walk to Roslindale Square- the new hip area of Boston. Easy access to downtown from the Rosi train station. Free parking in my driveway. Quiet, safe and convenient location. Free off street parking, yard and wifi. I have another house 3 blocks away that sleeps 9 people  (airbnb/rooms/492205 and small studio for 3 people (airbnb.com/rooms/(PHONE NUMBER HIDDEN)) if you have a large group. Both priced separetely.",f,2013-05-25,within an hour,Roslindale,2.07,House,5,91,10,10,10,10,9,9,125
4922204,"Roslindale is the new hip section of Boston and this house was just fully renovated. It is a 5 minute walk to ""Rosi Square"" where you can get the commuter rail into downtown Boston. If you drive, it is 7.9 miles to downtown Boston. Quiet, safe and private location. Separate studio apt in basement (airbnb.com/rooms/(PHONE NUMBER HIDDEN))  available for 3 people if you have big group and another house  3 blocks away holds 9 people (airbnb.com/rooms/(PHONE NUMBER HIDDEN))  Both separate cost.",f,2013-05-25,within an hour,Roslindale,4.32,House,7,95,10,10,10,10,10,9,200
4085362,"We used to be called Sub""urban"" Vacationing.  What do you think of our new name?  We can accommodate guests who are gluten-free, vegan, and/or vegetarian. Rest comfortably and enjoy beautiful vistas of Boston's skyline from our beautifully maintained grand two family home.  Feast on a delicious continental breakfast each morning.  We live in a quiet neighborhood and a mere 4 minute walk to the bus.  On street parking.  Snuggle in a great bed that sleeps two.",t,2012-08-05,within a few hours,Roslindale,0.87,House,1,97,10,10,10,10,10,10,75
3755609,"Lovely & Gracious Victorian room offers the beauty of the countryside and convenient proximity to downtown Boston (20 minutes) in a very quiet, trendy, diverse & safe neighborhood. Sunny, big, very clean, Internet, and a nice desk to work or write.  ",f,2014-07-31,within a few hours,Roslindale,0.87,House,1,95,9,9,10,10,9,9,78
13768853,"If you're looking for a quiet place in a residential setting and not too far from the city, this place is for you! Our place is close to the Arnold Arboretum, which is a great place to walk or run or enjoy the views of the city.  We are walking distance into town which has several coffee shops, restaurants, a supermarket and more.  Downtown is about a 30 minute train ride. We ask that guests treat our house respectfully, which means no smoking and cleaning up after yourself!",f,2015-09-01,within a few hours,Roslindale,5.77,Apartment,2,96,10,10,10,10,10,10,50
1936861,Private room with twin bed. Walking distance to Roslindale Square and downtown West Roxbury. Free street parking. Harvard's Arnold Arboretum and commuter rail stop to downtown Boston are minutes away. Please note that a dog lives in the apartment! ,t,2013-11-14,within a few hours,Roslindale,4.39,Apartment,1,98,10,10,10,10,9,10,60
4461111,The house is located in a friendly and safe  neighborhood of Boston. The room is  spacious and has two windows overlooking  the yard and street.  All utilities and WIFI are included. Shared bathroom/kitchen.   The bus line is less than a minute walk.,t,2014-03-17,within a few hours,Roslindale,0.54,House,1,100,9,10,10,9,7,9,45
1724900,"A beautiful house in Rolsindale village an attractive part of Boston. Hard wood floors with lots of light, 2 bedrooms and large kitchen and dining room, living room, and study. Easy walk to restaurants and shops, outside patio for eating in summer, walk to commuter rail in 5 minutes. ",f,2013-07-25,within a few hours,Roslindale,0.74,House,2,92,10,10,10,10,9,9,145
13937181,"Guest room available in cozy, well-lit home on a friendly and safe residential street.  Walking distance to public transportation, convenience stores, parks, and laundromat. Free parking available for one car. Complimentary coffee and toast in the mornings!",f,2016-07-10,within an hour,Roslindale,3.13,House,1,96,10,9,10,10,9,9,45
3968797,"Large private room in a large house near the Arnold Arboretum, in the Roslindale section of Boston.  House is on a one way block long street, and is quiet. Room is on the second floor with shared access to a large bathroom with washer and drier. ",t,2013-01-19,within an hour,Roslindale,1.67,House,1,97,10,10,10,10,9,10,85
